reviewId,content,satisfaction_label
9d0646ff-ca6d-468b-b228-2bf8be92dd05,vee good,2
32f69cf2-14ab-4e48-a3e8-dde6d18c74a3,demand transpar price increas due tariff clearli explicitli state,0
4388488f-82ed-464b-acff-a59da4588076,repeatedli sent wrong product even told utterli hopeless,0
bb056f30-0214-45ac-b0a0-cb07df737d59,best ever,2
f7cefb31-026b-4af2-9f66-5494b8d6f96b,never problem,2
47611fc9-283c-457b-a697-787cfb48beae,man pleas open amazon branch nepal pleas man amazon got super thing websit dont pleas open amazon nepal,2
8386f325-c942-46a9-bef0-8df0daf9932a,noth load alway stupid dog uhoh messag,0
bc815a95-1b47-4b9e-8e70-89d9bb94e73b,vat differ rate affect final price advertis piti vat wasnt standard throughout eu,1
1e4f0b9b-cbe7-40e3-a64c-d7976f9e8e10,care u product,2
9cc61133-0b0e-4902-b2dd-88a76ea4f769,deliber made imposs unsubscrib amazon music unlimit click cancel subscript link got taken amazon music set page option cancel amazon music subscript absolut disgust display ethic behavior toward custom,0
64904fe9-8e21-4f94-a240-2c560d385f23,good shop onlin thank,2
7a003023-ad80-4b16-bdea-286027e4c5cc,everyth order recent poor qualiti fake wrong size fed put prime still get rubbish,0
84d6fe2c-6adf-497b-9411-df15d1bfa04e,doesnt updateso pointless,1
40586ba0-fa7a-44bd-8209-39e6e5790822,love,2
d906a1bc-0868-4edd-ac40-82ab3f4e73bd,would like better wouldnt take long charg card id rather charg place order wait day actual ship,2
c42f149b-ce6e-42e1-8f40-417cb0c6a4b6,sinc new updat app run slow pleas fix also crash lot updat new updat infuri press heart goe first default list could press heart would give list list organ one amazon reason keep updat someth that run perfectli fine stop beta test keep thing way,0
2d303cbd-bbf7-4663-83b0-6d9f0ee5e6bb,good,2
7ca4c478-33c3-49f0-bab2-189c03445543,wow,2
77741a66-3a82-433f-9feb-2495c21ff447,monopoli compani enough everyon money longer get mine im buy local small busi much amazon ever,2
c6c09368-69ff-47a9-8bc1-db23279a73a6,two day late packag dont even bother order onlin might well get stuff store,2
1143dbcc-9143-4be7-bf5a-ef199b15f934,updat featur amazon driver driver deliv packag shine flashlight bedroom window report listen music loudli carelessli drive phone call least option let person submit respons like someth weird would like report isnt weird deliveri driver ive dont feel comfort buy amazon,2
b1ca1c57-99aa-4ff4-a686-07ddb598bf48,could amazon number one go prove time number come door,2
0bcc1f2f-4166-4335-af70-b1bff77a7535,love shop amazon,2
84371177-4e39-419e-8d36-c4c09ca76e62,two year later noth chang still slow slow load lag constantli search function inaccur easier fire laptop go,0
8cdb433e-ca8b-4f7d-9b45-4d61d5a63030,one wealthiest compani world dark mode option android app,2
f390fe2d-6f11-4f20-aa8b-2cbd79f364a1,open app show load doesnt anyth,1
d8f2f787-a60e-48b9-8268-264941de12bf,whenev order anyth come fulfil servic packag signal lost time packag end either stolen driver doesnt want drive rural area end wait sever day someth suppos day deliveri,0
52699ab9-0210-447e-99a3-25690dfc4e51,difficult time,0
e2e729de-8170-4aee-b246-72a475171f7d,overal good app problem tri connect custom servic ask question there way question give articl give help im guess amazon auto order product want get everi damn month,2
b9ce5214-f249-4e31-a22e-4eb8a5ca48aa,excel servic,2
f56ad3f7-953b-4183-b2d8-72f44e7ed86d,becom home bound due medic injuri amazon abl deliv groceri door order household need person need present peopl etcetcetc make condit find easier bear better qualiti life love littl store frequent need come amazon fill,2
05414d7a-3548-49ff-a76f-81d6a8a00532,good app,2
f5eecce3-5b92-4055-9ac9-6d520edbea5d,remov free return locat near drive minut return dollar item live far away civil hundr thousand peopl tightli pack area look replac sign btw weird gmap show multipl locker start return process lead freak bellevu minut drive peopl abus return process set limit return item etx,0
c73b37a5-8e76-4fcc-91f2-75831d14b966,good,2
b773006d-4f99-4836-8dc3-f05314274ed6,amazon everyth could want need good price item buy deliv home,2
dd3ffb7d-50ae-489b-9554-502f8f72a5e3,none sponsor item load click your seller highli recommend sponsor item locker pick up dont work app doesnt load next step absolut absurd compani big place locker sever locat app work tri pick locker return get difficult packag item even say dont ad dropoff locat link doesnt work,1
338e7063-7db0-4573-ac61-68d49e7cdb23,app use great sluggish buggi crash quit bit bad use alot,0
